event_type,region,country,state,city_code,city_name,date_type,date,name,description,optional,source,started_at,finished_at,created_at,updated_at,revised_at,published_at
HOLIDAY,CITY,BR,MA,2101301,BACURI,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2305407,ICÓ,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RN,2414407,TOUROS,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RN,2406502,LAGOA NOVA,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PR,4106407,CORNÉLIO PROCÓPIO,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PR,4116901,NOVA ESPERANÇA,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2927309,SALINAS DA MARGARIDA,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,AL,2704609,MARAVILHA,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2607000,INAJÁ,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2307106,JARDIM,FIXED,01-03,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PA,1500800,ANANINDEUA,FIXED,01-03,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3521606,IRAPURU,FIXED,01-03,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SC,4218855,UNIÃO DO OESTE,FIXED,01-04,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,GO,5208806,GOIANIRA,FIXED,01-04,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SC,4215653,SANTA ROSA DO SUL,FIXED,01-04,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PB,2508307,LAGOA SECA,FIXED,01-04,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RS,4318101,SÃO FRANCISCO DE ASSIS,FIXED,01-04,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RS,4317400,SANTIAGO,FIXED,01-04,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RJ,3304151,QUISSAMÃ,FIXED,01-04,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3554904,TRÊS FRONTEIRAS,FIXED,01-05,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,GO,5219001,SANCLERLÂNDIA,FIXED,01-05,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3153400,PRESIDENTE OLEGÁRIO,FIXED,01-05,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3520301,IGUAPE,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3516101,FLORÍNIA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3530508,MOCOCA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3510906,CÁSSIA DOS COQUEIROS,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SE,2803302,JAPARATUBA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3516804,GASTÃO VIDIGAL,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3514205,DOLCINÓPOLIS,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3531902,MORRO AGUDO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,AL,2708303,SÃO JOSÉ DA LAJE,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RJ,3300100,ANGRA DOS REIS,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2604007,CARPINA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RN,2407401,MARTINS,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RN,2402204,CANGUARETAMA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SE,2800209,AQUIDABÃ,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,AL,2704708,MARECHAL DEODORO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2609006,MACAPARANA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2604205,CATENDE,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2602407,BREJÃO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PB,2501500,BANANEIRAS,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SE,2803005,ITABAIANINHA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PB,2517001,UMBUZEIRO,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PB,2516409,TACIMA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PB,2512507,QUEIMADAS,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PB,2507101,ITAPOROROCA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PB,2503605,CAIÇARA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2605004,CUPIRA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RN,2408102,NATAL,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2610806,PEDRA,FIXED,01-06,Feriado municipal,,,FEBRABAN,,,,,,
